    153 begin	alias
     54 begin	allegiance
    232 begin	almamater
    143 begin	alternativenames
    222 begin	associatedacts
    174 begin	awards
    179 begin	background
     64 begin	battles
   2349 begin	birthdate
    630 begin	birthname
   3773 begin	birthplace
    449 begin	born
     47 begin	branch
     36 begin	caps
    444 begin	children
    263 begin	cityofbirth
    154 begin	cityofdeath
     71 begin	club
     83 begin	clubnumber
    244 begin	clubs
     60 begin	college
     35 begin	commands
     38 begin	constituency
     83 begin	constituencymp
     25 begin	country
    202 begin	countryofbirth
    161 begin	countryofdeath
   1061 begin	currentclub
     50 begin	death
     92 begin	deathcause
   3747 begin	deathdate
   4024 begin	deathplace
     10 begin	debutdate
     18 begin	debutteam
     89 begin	debutyear
     59 begin	deputy
    571 begin	died
     15 begin	district
     13 begin	domesticpartner
     76 begin	education
     47 begin	field
      4 begin	finaldate
     91 begin	finalyear
    313 begin	fullname
    445 begin	genre
      2 begin	goals
     97 begin	honorificprefix
    135 begin	honorificsuffix
     79 begin	influenced
     88 begin	influences
    239 begin	instrument
    156 begin	knownfor
    142 begin	label
      9 begin	language
    485 begin	location
      2 begin	majority
     34 begin	managerclubs
     21 begin	manageryears
   1579 begin	name
      9 begin	names
     30 begin	nationalcaps
    467 begin	nationality
    143 begin	nationalteam
    133 begin	nationalyears
    198 begin	nickname
    113 begin	notablerole
      1 begin	number
   1508 begin	occupation
   1571 begin	office
    407 begin	order
    207 begin	origin
     88 begin	othername
     68 begin	othernames
    104 begin	parents
    357 begin	party
    154 begin	playername
    453 begin	position
     54 begin	preceded
   1459 begin	predecessor
    151 begin	president
    221 begin	primeminister
    204 begin	profession
     62 begin	rank
    593 begin	religion
    253 begin	residence
     21 begin	serviceyears
    423 begin	spouse
     22 begin	start
     16 begin	state
     10 begin	subjectname
    100 begin	succeeded
   1332 begin	successor
     38 begin	team
     19 begin	teams
   1246 begin	termend
   1363 begin	termstart
     44 begin	unit
    802 begin	years
    269 begin	yearsactive
    139 begin	youthclubs
     57 begin	youthyears
     17 end	domesticpartner
     30 end	manageryears
    111 end	nationalyears
     56 end	serviceyears
    515 end	spouse
    775 end	years
    467 end	yearsactive
     98 end	youthyears
